work_order_number,dwr_name,technician,tech_subsidiary,job_stop_date,milestone,dummy_unit,on_site_hours,scope_of_work_performed
WO-35000000,DWR-11000000,PSG Technician 38,Pearce Services Global,2025-10-14,Intake,Intake,0.41,Synthetic WO and project folder created.
WO-35000000,DWR-11000001,PSG Technician 11,Pearce Services Global,2025-10-16,Pre-field,Pre-field,3.33,Synthetic scoping and site-map preparation completed.
WO-35000000,DWR-11000002,US Field Technician 10,Pearce Services,2025-10-20,Fielding,Field Travel,0.32,Synthetic travel to and from the work site.
WO-35000000,DWR-11000003,US Field Technician 10,Pearce Services,2025-10-20,Fielding,Site Visit,2.15,Synthetic site visit and local-contact coordination.
WO-35000000,DWR-11000004,US Field Technician 10,Pearce Services,2025-10-20,Fielding,Fielding,1.8,Synthetic aerial/buried field measurements captured.
WO-35000000,DWR-11000005,PSG Technician 01,Pearce Services Global,2025-10-23,Fielding,Field QC,0.32,Synthetic field package reviewed.
WO-35000000,DWR-11000006,PSG Technician 05,Pearce Services Global,2025-10-23,OCALC,Pole loading,1.67,Synthetic pole-loading extraction and submission.
WO-35000000,DWR-11000007,PSG Technician 02,Pearce Services Global,2025-10-27,Design,Design,5.98,Synthetic design production and record correction.
WO-35000000,DWR-11000008,PSG Technician 23,Pearce Services Global,2025-10-28,Design,Design,2.99,Synthetic design production and record correction.
WO-35000000,DWR-11000009,PSG Technician 13,Pearce Services Global,2025-10-30,Design,Design,8.35,Synthetic design production and record correction.
WO-35000000,DWR-11000010,PSG Technician 40,Pearce Services Global,2025-11-01,Design,Design QC,1.07,Synthetic design quality-control review completed.
WO-35000000,DWR-11000011,PSG Technician 04,Pearce Services Global,2025-11-02,Permitting,Permit Admin,2.49,Synthetic permit preparation or submission activity.
WO-35000000,DWR-11000012,PSG Technician 17,Pearce Services Global,2025-11-02,Permitting,Unscaled Permit,3.26,Synthetic permit preparation or submission activity.
WO-35000000,DWR-11000013,PSG Technician 27,Pearce Services Global,2025-11-02,Permitting,Quality Control - Permit,0.94,Synthetic permit preparation or submission activity.
WO-35000000,DWR-11000014,PSG Technician 01,Pearce Services Global,2025-11-05,Final Delivery,Final Delivery,0.79,Synthetic final package review and delivery.
WO-35000000,DWR-11000015,PSG Technician 08,Pearce Services Global,2025-11-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000000,DWR-11000016,PSG Technician 37,Pearce Services Global,2025-11-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000001,DWR-11000017,PSG Technician 23,Pearce Services Global,2026-03-24,Intake,Intake,0.28,Synthetic WO and project folder created.
WO-35000001,DWR-11000018,PSG Technician 31,Pearce Services Global,2026-03-25,Pre-field,Pre-field,3.41,Synthetic scoping and site-map preparation completed.
WO-35000001,DWR-11000019,US Field Technician 08,Pearce Services,2026-03-29,Fielding,Field Travel,0.97,Synthetic travel to and from the work site.
WO-35000001,DWR-11000020,US Field Technician 08,Pearce Services,2026-03-29,Fielding,Site Visit,1.3,Synthetic site visit and local-contact coordination.
WO-35000001,DWR-11000021,US Field Technician 08,Pearce Services,2026-03-29,Fielding,Fielding,1.31,Synthetic aerial/buried field measurements captured.
WO-35000001,DWR-11000022,PSG Technician 35,Pearce Services Global,2026-04-02,Fielding,Field QC,0.72,Synthetic field package reviewed.
WO-35000001,DWR-11000023,PSG Technician 33,Pearce Services Global,2026-04-05,Design,Design,4.12,Synthetic design production and record correction.
WO-35000001,DWR-11000024,PSG Technician 24,Pearce Services Global,2026-04-05,Design,Design,7.29,Synthetic design production and record correction.
WO-35000001,DWR-11000025,PSG Technician 05,Pearce Services Global,2026-04-07,Design,Design QC,3.44,Synthetic design quality-control review completed.
WO-35000001,DWR-11000026,PSG Technician 35,Pearce Services Global,2026-04-07,Design,Rework - Design,0.69,Synthetic customer or QC corrections implemented.
WO-35000001,DWR-11000027,PSG Technician 24,Pearce Services Global,2026-04-10,Final Delivery,Final Delivery,0.76,Synthetic final package review and delivery.
WO-35000001,DWR-11000028,PSG Technician 03,Pearce Services Global,2026-04-10,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000001,DWR-11000029,PSG Technician 04,Pearce Services Global,2026-04-10,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000002,DWR-11000030,PSG Technician 08,Pearce Services Global,2025-10-21,Intake,Intake,0.66,Synthetic WO and project folder created.
WO-35000002,DWR-11000031,PSG Technician 20,Pearce Services Global,2025-10-22,Pre-field,Pre-field,1.73,Synthetic scoping and site-map preparation completed.
WO-35000002,DWR-11000032,US Field Technician 18,Pearce Services,2025-10-29,Fielding,Field Travel,1.65,Synthetic travel to and from the work site.
WO-35000002,DWR-11000033,US Field Technician 18,Pearce Services,2025-10-29,Fielding,Site Visit,2.17,Synthetic site visit and local-contact coordination.
WO-35000002,DWR-11000034,US Field Technician 18,Pearce Services,2025-10-29,Fielding,Fielding,3.1,Synthetic aerial/buried field measurements captured.
WO-35000002,DWR-11000035,PSG Technician 23,Pearce Services Global,2025-10-30,Fielding,Field QC,0.72,Synthetic field package reviewed.
WO-35000002,DWR-11000036,PSG Technician 38,Pearce Services Global,2025-10-31,Design,Design,3.6,Synthetic design production and record correction.
WO-35000002,DWR-11000037,PSG Technician 07,Pearce Services Global,2025-11-01,Design,Design,7.98,Synthetic design production and record correction.
WO-35000002,DWR-11000038,PSG Technician 17,Pearce Services Global,2025-11-01,Design,Design QC,2.87,Synthetic design quality-control review completed.
WO-35000002,DWR-11000039,PSG Technician 21,Pearce Services Global,2025-11-01,Design,Rework - Design,5.11,Synthetic customer or QC corrections implemented.
WO-35000002,DWR-11000040,PSG Technician 24,Pearce Services Global,2025-11-04,Final Delivery,Final Delivery,0.79,Synthetic final package review and delivery.
WO-35000002,DWR-11000041,PSG Technician 14,Pearce Services Global,2025-11-04,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000003,DWR-11000042,PSG Technician 15,Pearce Services Global,2026-03-22,Intake,Intake,0.61,Synthetic WO and project folder created.
WO-35000003,DWR-11000043,PSG Technician 37,Pearce Services Global,2026-03-23,Pre-field,Pre-field,3.11,Synthetic scoping and site-map preparation completed.
WO-35000003,DWR-11000044,US Field Technician 03,Pearce Services,2026-03-26,Fielding,Field Travel,2.68,Synthetic travel to and from the work site.
WO-35000003,DWR-11000045,US Field Technician 03,Pearce Services,2026-03-26,Fielding,Site Visit,1.37,Synthetic site visit and local-contact coordination.
WO-35000003,DWR-11000046,US Field Technician 03,Pearce Services,2026-03-26,Fielding,Fielding,2.32,Synthetic aerial/buried field measurements captured.
